college_code,branch_code,category,closing_rank,round,year,course_type,round_no,seat_type,previous_year_cutoff
E001,Aeronautical Engineering,GM,33952.0,R1,2022,engineering,1,AT,33952.0
E001,Artificial Intelligence and Machine Learning,GM,12467.0,R1,2022,engineering,1,AT,12467.0
E001,Artificial Intelligence and Machine Learning,KKR,32495.0,R1,2022,engineering,1,AT,32495.0
E001,Automobile Engineering,GM,39706.0,R1,2022,engineering,1,AT,39706.0
E001,Biotechnology,GM,22282.0,R1,2022,engineering,1,AT,22282.0
E001,Civil Engineering,GM,35966.0,R1,2022,engineering,1,AT,35966.0
E001,Computer Science & Engineering,GM,10280.0,R1,2022,engineering,1,AT,10280.0
E001,Computer Science & Engineering,KKR,26604.0,R1,2022,engineering,1,AT,26604.0
E001,Electrical & Electronics Engineering,GM,21209.0,R1,2022,engineering,1,AT,21209.0
E001,Electronics & Communication Engineering,GM,16498.0,R1,2022,engineering,1,AT,16498.0
E001,Electronics & Communication Engineering,KKR,42688.0,R1,2022,engineering,1,AT,42688.0
E001,Information Science & Engineering,GM,12139.0,R1,2022,engineering,1,AT,12139.0
E001,Information Science & Engineering,KKR,31317.0,R1,2022,engineering,1,AT,31317.0
E001,Mechanical Engineering,GM,43859.0,R1,2022,engineering,1,AT,43859.0
E001,Mechatronics Engineering,GM,42205.0,R1,2022,engineering,1,AT,42205.0
E003,Aeronautical Engineering,GM,37462.0,R1,2022,engineering,1,AT,37462.0
E003,Aerospace Engineering,GM,41276.0,R1,2022,engineering,1,AT,41276.0
E003,Bio-Medical Engineering,GM,42834.0,R1,2022,engineering,1,AT,42834.0
E003,Computer Science & Engineering,GM,28509.0,R1,2022,engineering,1,AT,28509.0
E004,Artificial Intelligence and Machine Learning,GM,43909.0,R1,2022,engineering,1,AT,43909.0
E004,Computer Science & Engineering,GM,40201.0,R1,2022,engineering,1,AT,40201.0
E004,Information Science & Engineering,GM,32870.0,R1,2022,engineering,1,AT,32870.0
E006,AGRICULTURAL ENGINEERING,GM,15432.0,R1,2022,engineering,1,AT,15432.0
E006,Artificial Intelligence and Machine Learning,GM,33568.0,R1,2022,engineering,1,AT,33568.0
E006,COMPUTER SCIENCE & DESIGN,GM,41983.0,R1,2022,engineering,1,AT,41983.0
E006,Computer Science & Engineering,GM,42102.0,R1,2022,engineering,1,AT,42102.0
E006,Electronics & Communication Engineering,GM,43946.0,R1,2022,engineering,1,AT,43946.0
E007,Aeronautical Engineering,GM,43480.0,R1,2022,engineering,1,AT,43480.0
E007,Artificial Intelligence and Machine Learning,GM,34244.0,R1,2022,engineering,1,AT,34244.0
E007,Civil Engineering,GM,36117.0,R1,2022,engineering,1,AT,36117.0
E007,Computer Science & Engineering,GM,26054.0,R1,2022,engineering,1,AT,26054.0
E007,Computer Science & Engineering,KKR,34201.0,R1,2022,engineering,1,AT,34201.0
E007,Computer Science & Engineering( Artificial Intelligence & Machine Learning),GM,25363.0,R1,2022,engineering,1,AT,25363.0
E007,Computer Science and Engineering (Data Science),GM,30897.0,R1,2022,engineering,1,AT,30897.0
E007,Electrical & Electronics Engineering,GM,36475.0,R1,2022,engineering,1,AT,36475.0
E007,Electronics & Communication Engineering,GM,43581.0,R1,2022,engineering,1,AT,43581.0
E007,Information Science & Engineering,GM,32889.0,R1,2022,engineering,1,AT,32889.0
E007,Mechatronics Engineering,GM,39882.0,R1,2022,engineering,1,AT,39882.0
E011,Computer Science & Engineering,GM,36876.0,R1,2022,engineering,1,AT,36876.0
E011,Information Science & Engineering,GM,42846.0,R1,2022,engineering,1,AT,42846.0
E011,Mechanical Engineering,GM,37285.0,R1,2022,engineering,1,AT,37285.0
E012,COMPUTER SCIENCE & DESIGN,GM,42705.0,R1,2022,engineering,1,AT,42705.0
E012,Computer Science & Engineering,GM,22457.0,R1,2022,engineering,1,AT,22457.0
E012,Electronics & Communication Engineering,GM,39054.0,R1,2022,engineering,1,AT,39054.0
E012,Information Science & Engineering,GM,37044.0,R1,2022,engineering,1,AT,37044.0
E015,Artificial Intelligence and Machine Learning,GM,9284.0,R1,2022,engineering,1,AT,9284.0
E015,Artificial Intelligence and Machine Learning,KKR,29121.0,R1,2022,engineering,1,AT,29121.0
E015,Computer Science & Engineering,GM,6123.0,R1,2022,engineering,1,AT,6123.0
E015,Computer Science & Engineering,KKR,19883.0,R1,2022,engineering,1,AT,19883.0
E015,Electrical & Electronics Engineering,GM,25383.0,R1,2022,engineering,1,AT,25383.0
E015,Electronics & Communication Engineering,GM,12654.0,R1,2022,engineering,1,AT,12654.0
E015,Electronics & Communication Engineering,KKR,38870.0,R1,2022,engineering,1,AT,38870.0
E015,Information Science & Engineering,GM,7271.0,R1,2022,engineering,1,AT,7271.0
E015,Information Science & Engineering,KKR,20626.0,R1,2022,engineering,1,AT,20626.0
E015,Mechanical Engineering,GM,40313.0,R1,2022,engineering,1,AT,40313.0
E016,Automation & Robotics Engineering,GM,22851.0,R1,2022,engineering,1,AT,22851.0
E016,Biotechnology,GM,43053.0,R1,2022,engineering,1,AT,43053.0
E016,Civil Engineering,GM,34849.0,R1,2022,engineering,1,AT,34849.0
E016,Computer Science & Engineering,GM,8455.0,R1,2022,engineering,1,AT,8455.0
E016,Computer Science & Engineering,KKR,12515.0,R1,2022,engineering,1,AT,12515.0
E016,Computer Science and Engineering (Artificial Intelligence),GM,9162.0,R1,2022,engineering,1,AT,9162.0
E016,Computer Science and Engineering (Artificial Intelligence),KKR,14694.0,R1,2022,engineering,1,AT,14694.0
E016,Electrical & Electronics Engineering,GM,22591.0,R1,2022,engineering,1,AT,22591.0
E016,Electrical & Electronics Engineering,KKR,31579.0,R1,2022,engineering,1,AT,31579.0
E016,Electronics & Communication Engineering,GM,13707.0,R1,2022,engineering,1,AT,13707.0
E016,Electronics & Communication Engineering,KKR,24312.0,R1,2022,engineering,1,AT,24312.0
E016,Electronics and communication (Industry Integrated),GM,17344.0,R1,2022,engineering,1,AT,17344.0
E016,Electronics and communication (Industry Integrated),KKR,33585.0,R1,2022,engineering,1,AT,33585.0
E016,Mechanical Engineering,GM,41021.0,R1,2022,engineering,1,AT,41021.0
E017,Artificial Intelligence and Machine Learning,GM,39196.0,R1,2022,engineering,1,AT,39196.0
E017,Civil Engineering,GM,27421.0,R1,2022,engineering,1,AT,27421.0
E017,Computer Science & Engineering,GM,40967.0,R1,2022,engineering,1,AT,40967.0
E017,Electronics & Communication Engineering,GM,31757.0,R1,2022,engineering,1,AT,31757.0
E018,Artificial Intelligence and Machine Learning,GM,23685.0,R1,2022,engineering,1,AT,23685.0
E018,Computer Science & Engineering,GM,11726.0,R1,2022,engineering,1,AT,11726.0
E018,Computer Science & Engineering,KKR,42803.0,R1,2022,engineering,1,AT,42803.0
E018,Electrical & Electronics Engineering,GM,43863.0,R1,2022,engineering,1,AT,43863.0
E018,Electronics & Communication Engineering,GM,39560.0,R1,2022,engineering,1,AT,39560.0
E018,Information Science & Engineering,GM,19618.0,R1,2022,engineering,1,AT,19618.0
E019,Artificial Intelligence and Machine Learning,GM,3086.0,R1,2022,engineering,1,AT,3086.0
E019,Artificial Intelligence and Machine Learning,KKR,17007.0,R1,2022,engineering,1,AT,17007.0
E019,Civil Engineering,GM,43225.0,R1,2022,engineering,1,AT,43225.0
E019,Computer Science & Engineering,GM,2171.0,R1,2022,engineering,1,AT,2171.0
E019,Computer Science & Engineering,KKR,9096.0,R1,2022,engineering,1,AT,9096.0
E019,Electrical & Electronics Engineering,GM,9846.0,R1,2022,engineering,1,AT,9846.0
E019,Electrical & Electronics Engineering,KKR,29605.0,R1,2022,engineering,1,AT,29605.0
E019,Electronics & Communication Engineering,GM,6602.0,R1,2022,engineering,1,AT,6602.0
E019,Electronics & Communication Engineering,KKR,24894.0,R1,2022,engineering,1,AT,24894.0
E019,Electronics & Instrumentation Engineering,GM,18053.0,R1,2022,engineering,1,AT,18053.0
E019,Electronics and Telecommunication Engineering,GM,12762.0,R1,2022,engineering,1,AT,12762.0
E019,Industrial Engineering and Management,GM,35905.0,R1,2022,engineering,1,AT,35905.0
E019,Information Science & Engineering,GM,3315.0,R1,2022,engineering,1,AT,3315.0
E019,Information Science & Engineering,KKR,14509.0,R1,2022,engineering,1,AT,14509.0
E019,Mechanical Engineering,GM,32204.0,R1,2022,engineering,1,AT,32204.0
E020,Artificial Intelligence and Machine Learning,GM,39621.0,R1,2022,engineering,1,AT,39621.0
E020,Computer Science & Engineering,GM,23937.0,R1,2022,engineering,1,AT,23937.0
E020,Computer Science & Engineering,KKR,34800.0,R1,2022,engineering,1,AT,34800.0
E020,Electronics & Communication Engineering,GM,41324.0,R1,2022,engineering,1,AT,41324.0
E020,Mechanical Engineering,GM,41477.0,R1,2022,engineering,1,AT,41477.0
E021,Civil Engineering,GM,43566.0,R1,2022,engineering,1,AT,43566.0
E021,Computer Science & Engineering,GM,25901.0,R1,2022,engineering,1,AT,25901.0
E021,Computer Science & Engineering,KKR,38561.0,R1,2022,engineering,1,AT,38561.0
E021,Electrical & Electronics Engineering,GM,43604.0,R1,2022,engineering,1,AT,43604.0
E021,Electronics & Communication Engineering,GM,38105.0,R1,2022,engineering,1,AT,38105.0
E021,Information Science & Engineering,GM,36407.0,R1,2022,engineering,1,AT,36407.0
E021,Information Science & Engineering,KKR,39392.0,R1,2022,engineering,1,AT,39392.0
E023,Computer Science & Engineering,GM,44034.0,R1,2022,engineering,1,AT,44034.0
E023,Electronics & Communication Engineering,GM,39523.0,R1,2022,engineering,1,AT,39523.0
E024,Artificial Intelligence and Machine Learning,GM,38069.0,R1,2022,engineering,1,AT,38069.0
E024,Biotechnology,GM,38148.0,R1,2022,engineering,1,AT,38148.0
E024,Civil Engineering,GM,41588.0,R1,2022,engineering,1,AT,41588.0
E024,Computer Science & Engineering,GM,21477.0,R1,2022,engineering,1,AT,21477.0
E024,Computer Science & Engineering,KKR,30193.0,R1,2022,engineering,1,AT,30193.0
E024,Electronics & Communication Engineering,GM,33318.0,R1,2022,engineering,1,AT,33318.0
E024,Information Science & Engineering,GM,30054.0,R1,2022,engineering,1,AT,30054.0
E024,Information Science & Engineering,KKR,42989.0,R1,2022,engineering,1,AT,42989.0
E026,Computer Science & Engineering,GM,42140.0,R1,2022,engineering,1,AT,42140.0
E026,Computer Science & Engineering( Artificial Intelligence & Machine Learning),GM,35163.0,R1,2022,engineering,1,AT,35163.0
E026,Electronics & Communication Engineering,GM,21514.0,R1,2022,engineering,1,AT,21514.0
E027,Aerospace Engineering,GM,6052.0,R1,2022,engineering,1,AT,6052.0
E027,Aerospace Engineering,KKR,21427.0,R1,2022,engineering,1,AT,21427.0
E027,Artificial Intelligence and Machine Learning,GM,632.0,R1,2022,engineering,1,AT,632.0
E027,Artificial Intelligence and Machine Learning,KKR,8243.0,R1,2022,engineering,1,AT,8243.0
E027,Biotechnology,GM,12910.0,R1,2022,engineering,1,AT,12910.0
E027,Chemical Engineering,GM,13612.0,R1,2022,engineering,1,AT,13612.0
E027,Civil Engineering,GM,16916.0,R1,2022,engineering,1,AT,16916.0
E027,Civil Engineering,KKR,34288.0,R1,2022,engineering,1,AT,34288.0
E027,Computer Science & Engineering,GM,195.0,R1,2022,engineering,1,AT,195.0
E027,Computer Science & Engineering,KKR,2400.0,R1,2022,engineering,1,AT,2400.0
E027,Electronics & Communication Engineering,GM,1209.0,R1,2022,engineering,1,AT,1209.0
E027,Electronics & Communication Engineering,KKR,8187.0,R1,2022,engineering,1,AT,8187.0
E027,Electronics & Instrumentation Engineering,GM,4892.0,R1,2022,engineering,1,AT,4892.0
E027,Electronics & Instrumentation Engineering,KKR,30130.0,R1,2022,engineering,1,AT,30130.0
E027,Electronics and Telecommunication Engineering,GM,3658.0,R1,2022,engineering,1,AT,3658.0
E027,Electronics and Telecommunication Engineering,KKR,26577.0,R1,2022,engineering,1,AT,26577.0
E027,Information Science & Engineering,GM,550.0,R1,2022,engineering,1,AT,550.0
E027,Information Science & Engineering,KKR,5642.0,R1,2022,engineering,1,AT,5642.0
E027,Mechanical Engineering,GM,7868.0,R1,2022,engineering,1,AT,7868.0
E027,Medical Electronics Engineering,GM,19125.0,R1,2022,engineering,1,AT,19125.0
E027,Medical Electronics Engineering,KKR,29686.0,R1,2022,engineering,1,AT,29686.0
E028,Artificial Intelligence and Machine Learning,GM,1656.0,R1,2022,engineering,1,AT,1656.0
E028,Artificial Intelligence and Machine Learning,KKR,17641.0,R1,2022,engineering,1,AT,17641.0
E028,Civil Engineering,GM,30235.0,R1,2022,engineering,1,AT,30235.0
E028,Civil Engineering,KKR,31696.0,R1,2022,engineering,1,AT,31696.0
E028,Computer Science & Engineering,GM,1383.0,R1,2022,engineering,1,AT,1383.0
E028,Computer Science & Engineering,KKR,12598.0,R1,2022,engineering,1,AT,12598.0
E028,Electrical & Electronics Engineering,GM,12463.0,R1,2022,engineering,1,AT,12463.0
E028,Electrical & Electronics Engineering,KKR,36318.0,R1,2022,engineering,1,AT,36318.0
E028,Electronics & Communication Engineering,GM,6669.0,R1,2022,engineering,1,AT,6669.0
E028,Electronics & Communication Engineering,KKR,28631.0,R1,2022,engineering,1,AT,28631.0
E028,Electronics and Telecommunication Engineering,GM,13232.0,R1,2022,engineering,1,AT,13232.0
E028,Information Science & Engineering,GM,2502.0,R1,2022,engineering,1,AT,2502.0
E028,Information Science & Engineering,KKR,18329.0,R1,2022,engineering,1,AT,18329.0
E028,Mechanical Engineering,GM,22740.0,R1,2022,engineering,1,AT,22740.0
E030,Information Science & Engineering,GM,38241.0,R1,2022,engineering,1,AT,38241.0
E032,Artificial Intelligence and Data Science,GM,9781.0,R1,2022,engineering,1,AT,9781.0
E032,Artificial Intelligence and Data Science,KKR,35228.0,R1,2022,engineering,1,AT,35228.0
E032,Artificial Intelligence and Machine Learning,GM,9770.0,R1,2022,engineering,1,AT,9770.0
E032,Artificial Intelligence and Machine Learning,KKR,34977.0,R1,2022,engineering,1,AT,34977.0
E032,Civil Engineering,GM,41928.0,R1,2022,engineering,1,AT,41928.0
E032,Computer Science & Engineering,GM,6927.0,R1,2022,engineering,1,AT,6927.0
E032,Computer Science & Engineering,KKR,24985.0,R1,2022,engineering,1,AT,24985.0
E032,Electrical & Electronics Engineering,GM,24187.0,R1,2022,engineering,1,AT,24187.0
E032,Electronics & Communication Engineering,GM,15631.0,R1,2022,engineering,1,AT,15631.0
E032,Electronics & Communication Engineering,KKR,41003.0,R1,2022,engineering,1,AT,41003.0
E032,Information Science & Engineering,GM,8740.0,R1,2022,engineering,1,AT,8740.0
E032,Information Science & Engineering,KKR,27449.0,R1,2022,engineering,1,AT,27449.0
E032,Mechanical Engineering,GM,42998.0,R1,2022,engineering,1,AT,42998.0
E033,Artificial Intelligence and Machine Learning,GM,15820.0,R1,2022,engineering,1,AT,15820.0
E033,Computer Science & Engineering,GM,12347.0,R1,2022,engineering,1,AT,12347.0
E033,Electronics & Communication Engineering,GM,29903.0,R1,2022,engineering,1,AT,29903.0
E033,Information Science & Engineering,GM,17980.0,R1,2022,engineering,1,AT,17980.0
E035,Artificial Intelligence and Data Science,GM,36195.0,R1,2022,engineering,1,AT,36195.0
E035,Computer Science & Engineering,GM,43302.0,R1,2022,engineering,1,AT,43302.0
E035,Electrical & Electronics Engineering,GM,23340.0,R1,2022,engineering,1,AT,23340.0
E037,Artificial Intelligence and Machine Learning,GM,42325.0,R1,2022,engineering,1,AT,42325.0
E037,Computer Science & Engineering,GM,43783.0,R1,2022,engineering,1,AT,43783.0
E037,Information Science & Engineering,GM,33278.0,R1,2022,engineering,1,AT,33278.0
E038,Artificial Intelligence and Machine Learning,GM,27275.0,R1,2022,engineering,1,AT,27275.0
E038,Computer Science & Engineering,GM,19573.0,R1,2022,engineering,1,AT,19573.0
E039,Artificial Intelligence and Machine Learning,GM,12797.0,R1,2022,engineering,1,AT,12797.0
E039,Artificial Intelligence and Machine Learning,KKR,32579.0,R1,2022,engineering,1,AT,32579.0
E039,COMPUTER SCIENCE & DESIGN,GM,15927.0,R1,2022,engineering,1,AT,15927.0
E039,COMPUTER SCIENCE & DESIGN,KKR,42901.0,R1,2022,engineering,1,AT,42901.0
E039,Computer Science & Engineering,GM,11722.0,R1,2022,engineering,1,AT,11722.0
E039,Computer Science & Engineering,KKR,24839.0,R1,2022,engineering,1,AT,24839.0
E039,Electronics & Communication Engineering,GM,19624.0,R1,2022,engineering,1,AT,19624.0
E039,Electronics & Communication Engineering,KKR,36771.0,R1,2022,engineering,1,AT,36771.0
E039,Information Science & Engineering,GM,15125.0,R1,2022,engineering,1,AT,15125.0
E039,Information Science & Engineering,KKR,31762.0,R1,2022,engineering,1,AT,31762.0
E040,Aeronautical Engineering,GM,15188.0,R1,2022,engineering,1,AT,15188.0
E040,Artificial Intelligence and Machine Learning,GM,2737.0,R1,2022,engineering,1,AT,2737.0
E040,Artificial Intelligence and Machine Learning,KKR,12943.0,R1,2022,engineering,1,AT,12943.0
E040,Automobile Engineering,GM,32129.0,R1,2022,engineering,1,AT,32129.0
E040,Biotechnology,GM,19207.0,R1,2022,engineering,1,AT,19207.0
E040,Biotechnology,KKR,31230.0,R1,2022,engineering,1,AT,31230.0
E040,COMPUTER SCIENCE & DESIGN,GM,3182.0,R1,2022,engineering,1,AT,3182.0
E040,COMPUTER SCIENCE & DESIGN,KKR,13270.0,R1,2022,engineering,1,AT,13270.0
E040,Chemical Engineering,GM,26649.0,R1,2022,engineering,1,AT,26649.0
E040,Civil Engineering,GM,37002.0,R1,2022,engineering,1,AT,37002.0
E040,Civil Engineering,KKR,42766.0,R1,2022,engineering,1,AT,42766.0
E040,Computer Science & Engineering,GM,1871.0,R1,2022,engineering,1,AT,1871.0
E040,Computer Science & Engineering,KKR,9325.0,R1,2022,engineering,1,AT,9325.0
E040,Electrical & Electronics Engineering,GM,11744.0,R1,2022,engineering,1,AT,11744.0
E040,Electrical & Electronics Engineering,KKR,37572.0,R1,2022,engineering,1,AT,37572.0
E040,Electronics & Communication Engineering,GM,5453.0,R1,2022,engineering,1,AT,5453.0
E040,Electronics & Communication Engineering,KKR,18597.0,R1,2022,engineering,1,AT,18597.0
E040,Electronics & Instrumentation Engineering,GM,17131.0,R1,2022,engineering,1,AT,17131.0
E040,Electronics & Instrumentation Engineering,KKR,29646.0,R1,2022,engineering,1,AT,29646.0
