physics_score,chemistry_score,math_score,total_score,rank
60.0,59.7,51.13,170.83,1
47.8,60.0,60.0,167.8,2
60.0,43.83,59.46,163.29,3
48.99,59.11,49.89,158.0,4
49.3,60.0,56.86,166.16,5
52.93,48.39,59.89,161.21,6
40.49,60.0,58.67,159.16,7
58.37,41.82,60.0,160.19,8
51.2,58.09,46.65,155.93,9
50.89,56.71,59.79,167.38,10
57.61,60.0,41.32,158.94,11
60.0,53.77,44.17,157.94,12
56.51,49.13,48.24,153.87,13
52.96,41.95,60.0,154.91,14
60.0,52.05,42.61,154.66,15
47.66,60.0,48.57,156.23,16
42.76,57.07,51.74,151.57,17
39.31,54.33,60.0,153.65,18
46.36,51.22,52.13,149.71,19
50.95,48.17,56.21,155.34,20
60.0,57.09,42.56,159.64,21
60.0,58.68,33.79,152.46,22
36.34,56.45,60.0,152.78,23
47.16,59.06,47.9,154.11,24
60.0,42.73,47.8,150.53,25
57.28,45.73,49.56,152.57,26
48.83,54.93,48.45,152.21,27
58.55,45.15,47.25,150.95,28
50.27,40.5,60.0,150.77,29
59.96,48.43,43.15,151.55,30
50.38,53.07,51.41,154.86,31
55.61,38.34,57.55,151.5,32
51.09,37.03,60.0,148.12,33
50.38,45.08,46.35,141.81,34
31.28,60.0,49.96,141.23,35
60.0,47.07,40.39,147.46,36
46.93,51.88,50.67,149.48,37
60.0,44.86,41.6,146.46,38
45.73,53.22,48.88,147.83,39
39.95,48.12,54.93,143.0,40
55.72,45.6,40.4,141.71,41
44.64,60.0,46.73,151.36,42
55.45,44.56,45.58,145.59,43
40.03,53.18,54.6,147.81,44
58.7,46.84,40.86,146.4,45
47.39,60.0,34.27,141.66,46
60.0,37.59,45.52,143.11,47
35.36,46.62,60.0,141.98,48
42.22,47.1,54.95,144.26,49
36.94,60.0,44.73,141.67,50
53.85,33.76,58.49,146.1,51
32.07,47.41,60.0,139.48,52
49.91,32.95,58.75,141.6,53
38.72,42.0,56.35,137.07,54
42.96,47.96,51.11,142.02,55
43.97,51.98,44.61,140.56,56
53.2,58.15,29.64,140.99,57
60.0,37.68,41.55,139.24,58
49.47,47.48,46.24,143.19,59
38.07,47.14,55.76,140.97,60
25.38,54.55,60.0,139.93,61
44.24,47.75,48.64,140.63,62
37.37,45.25,57.14,139.76,63
38.2,60.0,44.82,143.02,64
34.72,45.29,58.42,138.42,65
42.47,56.8,41.55,140.83,66
42.8,58.73,37.11,138.63,67
50.44,55.24,33.91,139.59,68
41.98,33.66,60.0,135.64,69
57.4,37.88,40.83,136.11,70
49.46,41.64,42.03,133.13,71
52.52,29.17,54.96,136.65,72
51.66,51.67,36.29,139.62,73
51.97,51.44,34.22,137.64,74
36.04,44.53,60.0,140.57,75
46.71,53.2,37.36,137.27,76
53.22,30.35,52.16,135.72,77
42.46,48.34,46.78,137.58,78
31.31,54.89,47.62,133.83,79
43.84,49.94,40.64,134.42,80
55.64,38.16,42.81,136.61,81
47.42,60.0,28.68,136.09,82
53.13,41.74,39.83,134.7,83
54.81,31.69,48.27,134.77,84
51.07,37.41,50.63,139.1,85
53.39,33.26,50.54,137.2,86
43.75,50.02,44.05,137.82,87
45.53,34.69,52.98,133.2,88
41.82,51.38,39.8,133.0,89
42.97,49.96,44.92,137.85,90
44.3,41.36,47.04,132.71,91
32.73,60.0,39.2,131.93,92
54.49,44.06,38.33,136.88,93
43.63,42.63,47.12,133.38,94
30.02,57.37,48.55,135.93,95
51.63,48.26,36.46,136.35,96
40.65,54.03,36.95,131.63,97
45.08,36.33,49.58,130.99,98
51.47,35.39,47.68,134.54,99
60.0,29.39,42.64,132.03,100
48.84,39.25,46.56,134.65,101
45.31,34.96,53.01,133.27,102
60.0,48.42,29.87,138.29,103
52.02,34.56,47.5,134.07,104
53.81,44.63,32.37,130.82,105
43.94,38.01,51.45,133.4,106
51.96,49.21,32.95,134.13,107
39.12,44.49,48.23,131.84,108
49.34,37.55,45.03,131.93,109
60.0,36.92,36.75,133.67,110
41.03,51.61,41.43,134.07,111
31.08,51.99,47.8,130.86,112
40.57,35.93,52.93,129.43,113
51.03,43.83,37.98,132.83,114
35.79,37.29,58.22,131.3,115
39.52,31.65,59.97,131.15,116
33.7,43.72,53.59,131.01,117
40.02,40.21,48.3,128.53,118
43.91,35.9,52.09,131.89,119
38.01,35.36,60.0,133.37,120
54.45,25.71,50.76,130.92,121
47.29,43.9,38.2,129.39,122
49.2,37.45,41.35,128.01,123
37.49,46.08,45.05,128.62,124
49.65,36.99,45.48,132.13,125
32.99,52.17,45.9,131.05,126
40.9,45.64,43.58,130.11,127
33.63,47.79,46.86,128.28,128
43.87,37.09,51.45,132.41,129
33.2,42.2,55.63,131.03,130
45.06,45.07,38.37,128.5,131
23.08,54.18,54.2,131.47,132
37.72,44.85,47.52,130.09,133
56.61,31.79,43.44,131.84,134
45.54,47.61,38.92,132.07,135
46.19,42.0,40.11,128.3,136
55.65,28.83,43.56,128.04,137
35.69,43.57,50.71,129.97,138
41.1,36.45,52.43,129.98,139
34.25,43.61,51.05,128.91,140
47.09,40.44,43.08,130.61,141
46.41,60.0,21.85,128.26,142
52.41,36.37,38.26,127.04,143
40.74,44.94,43.06,128.74,144
47.76,36.79,43.55,128.11,145
42.41,36.45,49.17,128.03,146
45.51,35.01,45.73,126.25,147
52.17,31.15,47.52,130.84,148
50.41,47.04,29.67,127.12,149
40.57,53.63,37.06,131.26,150
41.77,39.86,44.12,125.75,151
60.0,34.24,34.54,128.78,152
50.98,37.15,40.47,128.6,153
42.41,45.4,38.92,126.73,154
44.12,57.5,25.76,127.38,155
50.97,35.1,41.4,127.48,156
44.64,37.44,45.78,127.85,157
34.52,46.29,46.15,126.96,158
34.06,58.88,34.24,127.18,159
45.77,47.56,33.76,127.1,160
36.51,49.97,40.08,126.55,161
23.55,60.0,44.11,127.67,162
48.2,37.52,40.99,126.71,163
53.59,39.58,38.42,131.59,164
46.4,37.5,42.18,126.08,165
45.17,42.27,42.22,129.67,166
30.11,42.59,52.54,125.23,167
51.4,31.72,44.44,127.56,168
37.87,46.41,42.76,127.04,169
38.14,41.43,46.58,126.15,170
45.15,38.04,44.0,127.2,171
46.43,28.92,49.45,124.8,172
52.4,34.44,40.06,126.9,173
50.93,15.9,59.43,126.27,174
31.1,60.0,36.89,127.98,175
37.95,59.63,27.81,125.39,176
44.57,55.78,23.78,124.12,177
31.66,57.61,35.5,124.76,178
54.74,38.49,35.61,128.84,179
28.56,40.03,58.96,127.55,180
41.52,31.38,52.8,125.71,181
42.19,49.17,34.07,125.42,182
50.3,33.25,42.24,125.79,183
45.52,39.08,41.54,126.14,184
40.58,41.47,46.38,128.43,185
57.4,44.49,22.68,124.56,186
49.13,30.39,46.35,125.87,187
25.5,44.75,54.14,124.4,188
33.04,46.03,48.17,127.24,189
41.08,46.3,41.77,129.15,190
20.53,60.0,45.5,126.03,191
54.67,33.93,40.93,129.53,192
32.46,51.32,40.36,124.14,193
33.34,33.68,58.56,125.57,194
35.18,53.97,33.24,122.39,195
37.91,45.26,40.02,123.2,196
39.45,41.2,43.2,123.86,197
39.95,49.86,35.79,125.61,198
37.86,50.18,38.66,126.7,199
26.67,52.89,44.84,124.4,200
49.08,35.01,40.1,124.19,201
52.42,41.77,29.03,123.22,202
31.16,40.93,55.26,127.35,203
28.85,40.06,55.36,124.27,204
45.83,35.15,44.81,125.79,205
39.99,39.07,43.36,122.42,206
30.36,39.06,54.58,123.99,207
37.32,34.54,51.9,123.76,208
35.0,51.3,35.19,121.49,209
37.85,53.72,30.34,121.91,210
31.01,38.26,54.47,123.74,211
45.9,40.09,35.49,121.48,212
42.75,52.24,29.75,124.75,213
44.42,40.1,40.95,125.46,214
38.37,38.81,46.87,124.06,215
43.35,36.04,44.02,123.41,216
44.15,40.56,39.61,124.31,217
50.72,42.63,30.66,124.01,218
34.29,44.76,44.22,123.27,219
45.09,34.29,42.81,122.19,220
26.23,38.37,59.6,124.2,221
34.15,60.0,30.95,125.09,222
31.71,55.38,35.34,122.43,223
33.4,47.52,41.01,121.92,224
41.47,45.32,36.38,123.16,225
31.99,32.7,57.07,121.76,226
43.64,41.84,35.34,120.82,227
30.22,47.35,43.17,120.74,228
46.42,35.1,41.59,123.11,229
24.86,48.91,45.41,119.17,230
44.66,35.75,44.55,124.96,231
54.09,27.56,38.66,120.31,232
50.19,41.52,32.35,124.07,233
37.65,46.86,36.59,121.1,234
43.33,54.09,26.16,123.58,235
29.23,44.04,49.58,122.84,236
37.81,52.71,31.93,122.46,237
26.43,50.45,42.26,119.14,238
37.96,40.86,41.37,120.18,239
35.98,48.24,35.7,119.91,240
54.27,39.51,27.24,121.02,241
46.33,48.14,29.29,123.76,242
38.06,43.75,40.78,122.59,243
43.0,38.4,41.43,122.83,244
33.84,32.51,53.32,119.68,245
43.09,34.75,41.97,119.81,246
19.41,52.94,48.75,121.09,247
