year,round_no,college_code,college_name,branch,category,closing_rank,course_name,course_code
2022,1,E002,"Acharya's NRV School of Architecture, Bangalore",B.ARCH,GM,371.0,Bachelor of Architecture (B.Arch),AT
2022,1,E002,"Acharya's NRV School of Architecture, Bangalore",B.ARCH,GM,,Bachelor of Architecture (B.Arch),AT
2022,1,E008,Angadi School of Architecture,B.ARCH,GM,440.0,Bachelor of Architecture (B.Arch),AT
2022,1,E008,Angadi School of Architecture,B.ARCH,GM,,Bachelor of Architecture (B.Arch),AT
2022,1,E016,K.L.E. Technologiceal University (Formerly B.V. Bhoomaraddi College of Eng & Tech),B.ARCH,GM,584.0,Bachelor of Architecture (B.Arch),AT
2022,1,E016,K.L.E. Technologiceal University (Formerly B.V. Bhoomaraddi College of Eng & Tech),B.ARCH,GM,754.0,Bachelor of Architecture (B.Arch),AT
2022,1,E026,"BLDEA's V.P. Dr. PG Halkatti College of Engineering & Technology, Vijayapur",B.ARCH,GM,838.0,Bachelor of Architecture (B.Arch),AT
2022,1,E026,"BLDEA's V.P. Dr. PG Halkatti College of Engineering & Technology, Vijayapur",B.ARCH,GM,,Bachelor of Architecture (B.Arch),AT
2022,1,E029,"BMS School of Architecture, Bengaluru",B.ARCH,GM,249.0,Bachelor of Architecture (B.Arch),AT
2022,1,E029,"BMS School of Architecture, Bengaluru",B.ARCH,GM,788.0,Bachelor of Architecture (B.Arch),AT
2022,1,E039,"Dayananda Sagar Academy of Technology & Management, Bangalore",B.ARCH,GM,447.0,Bachelor of Architecture (B.Arch),AT
2022,1,E039,"Dayananda Sagar Academy of Technology & Management, Bangalore",B.ARCH,GM,689.0,Bachelor of Architecture (B.Arch),AT
2022,1,E054,GSSS School of Architecture for Women,B.ARCH,GM,831.0,Bachelor of Architecture (B.Arch),AT
2022,1,E054,GSSS School of Architecture for Women,B.ARCH,GM,,Bachelor of Architecture (B.Arch),AT
2022,1,E057,"JSS Institute of Architecture and Planning, Dharwad",B.ARCH,GM,812.0,Bachelor of Architecture (B.Arch),AT
