year,round_no,college_code,college_name,branch,category,closing_rank
2022,1,E002,"Acharya's NRV School of Architecture, Bangalore",B.ARCH,GM,371.0
2022,1,E002,"Acharya's NRV School of Architecture, Bangalore",B.ARCH,GM,
2022,1,E008,Angadi School of Architecture,B.ARCH,GM,440.0
2022,1,E008,Angadi School of Architecture,B.ARCH,GM,
2022,1,E016,K.L.E. Technologiceal University (Formerly B.V. Bhoomaraddi College of Eng & Tech),B.ARCH,GM,584.0
2022,1,E016,K.L.E. Technologiceal University (Formerly B.V. Bhoomaraddi College of Eng & Tech),B.ARCH,GM,754.0
2022,1,E026,"BLDEA's V.P. Dr. PG Halkatti College of Engineering & Technology, Vijayapur",B.ARCH,GM,838.0
2022,1,E026,"BLDEA's V.P. Dr. PG Halkatti College of Engineering & Technology, Vijayapur",B.ARCH,GM,
2022,1,E029,"BMS School of Architecture, Bengaluru",B.ARCH,GM,249.0
2022,1,E029,"BMS School of Architecture, Bengaluru",B.ARCH,GM,788.0
2022,1,E039,"Dayananda Sagar Academy of Technology & Management, Bangalore",B.ARCH,GM,447.0
2022,1,E039,"Dayananda Sagar Academy of Technology & Management, Bangalore",B.ARCH,GM,689.0
2022,1,E054,GSSS School of Architecture for Women,B.ARCH,GM,831.0
2022,1,E054,GSSS School of Architecture for Women,B.ARCH,GM,
2022,1,E057,"JSS Institute of Architecture and Planning, Dharwad",B.ARCH,GM,812.0
2022,1,E057,"JSS Institute of Architecture and Planning, Dharwad",B.ARCH,GM,
2022,1,E073,"KLS Gogte Institute of Technology, Belgaum",B.ARCH,GM,585.0
2022,1,E073,"KLS Gogte Institute of Technology, Belgaum",B.ARCH,GM,722.0
2022,1,E077,"M.S Ramaiah Institute of Technology, Bangalore",B.ARCH,GM,152.0
2022,1,E077,"M.S Ramaiah Institute of Technology, Bangalore",B.ARCH,GM,798.0
2022,1,E125,"Siddaganga Institute of Technology, Tumakuru",B.ARCH,GM,455.0
2022,1,E125,"Siddaganga Institute of Technology, Tumakuru",B.ARCH,GM,
2022,1,E138,SRINIVAS INSTITUTE OF TECHNOLOGY,B.ARCH,GM,785.0
2022,1,E138,SRINIVAS INSTITUTE OF TECHNOLOGY,B.ARCH,GM,
2022,1,E163,SJB School of Architecture & Planning,B.ARCH,GM,475.0
2022,1,E163,SJB School of Architecture & Planning,B.ARCH,GM,
2022,1,E164,Reva University,B.ARCH,GM,402.0
2022,1,E164,Reva University,B.ARCH,GM,833.0
2022,1,E168,Mysore School of Architecture,B.ARCH,GM,322.0
2022,1,E168,Mysore School of Architecture,B.ARCH,GM,
2022,1,E174,Aditya Academy of Architecture & Design,B.ARCH,GM,819.0
2022,1,E174,Aditya Academy of Architecture & Design,B.ARCH,GM,
