College Name,College Code,Location,Course,Course Code,Seat Category,Closing_Rank,Predicted_Closing_Rank
"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",E005,BENGALURU RURAL,AD-Artificial Intelligence & Data Science,AD,GM,84613,70112
"BMS College of Engineering-Basavanagudi, Bengaluru",E027,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,5885,69595
"C.M.R. Institute of Technology-Brookefield, Bengaluru",E032,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,36348,69078
"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",E050,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,55758,67870
"GSSS Institute of Engineering and Technology for Women-Metagalli, Mysuru",E055,MYSURU,AD-Artificial Intelligence & Data Science,AD,GM,74720,68043
"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",E077,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,3422,66749
"Reva University-Yelahanka, Bengaluru",E164,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,61900,65628
"BGS College of Engineering and Technology-Mahalaxmipuram, Bengaluru",E207,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,106934,69768
"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",E040,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,63821,68560
"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",E005,BENGALURU RURAL,AD-Artificial Intelligence & Data Science,AD,GM,84459,70112
"AMC Engineering College-Bannerghatta Rd, Bengaluru",E007,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,110976,70371
"C.M.R. Institute of Technology-Brookefield, Bengaluru",E032,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,26892,69078
"Dayananda Sagar Academy of Technology and Management-Kanakpura Road, Bengaluru",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,54107,68646
"DON BOSCO Institute of Technology-Kumbalgodu, Bengaluru",E041,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,71736,68733
"East Point College of Engineering and Technology-Avalahalli, Bengaluru",E046,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,59837,68388
"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",E050,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,94669,67870
"Gopalan College of Engineering And Management-Whitefield, Bengaluru",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,65974,67784
"GSSS Institute of Engineering and Technology for Women-Metagalli, Mysuru",E055,MYSURU,AD-Artificial Intelligence & Data Science,AD,GM,56718,68043
"JSS Academy of Technical Education-Kengeri Main Road, Bengaluru",E060,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,68949,67698
JSS Science and Technology University-Mysuru,Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,16101,67612
"Jain College of Engineering-T.S Nagar, Belagavi",E062,BELAGAVI,AD-Artificial Intelligence & Data Science,AD,GM,73621,67439
"KLS Gogte Institute of Technology-Udyambag, Belagavi",E073,BELAGAVI,AD-Artificial Intelligence & Data Science,AD,GM,43970,66922
"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",E077,BENGALURU,AD-Artificial Intelligence & Data Science,AD,GM,2098,66749
"Maharaja Institute of Technology-Belawadi, Mandya",E078,MANDYA,AD-Artificial Intelligence & Data Science,AD,GM,98718,66577
"Maharaja Institute of Technology-Thandavapura, Mysuru",E082,MYSURU,AD-Artificial Intelligence & Data Science,AD,GM,71122,66491
"Nagarjuna College of Engineering And Technology-Devanahalli, Bengaluru",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,59079,66318
"The National Institute of Engineering North Campus-Koorgalli, Mysuru",Unknown,Unknown,AD-Artificial Intelligence & Data Science,AD,GM,25039,64593
