College,Branch,Category,Opening Rank,Closing Rank,Year
RV College of Engineering,CSE,GM,1,450,2023
RV College of Engineering,ISE,GM,451,800,2023
RV College of Engineering,ECE,GM,801,1500,2023
RV College of Engineering,EEE,GM,1501,3000,2023
RV College of Engineering,ME,GM,3001,6000,2023
RV College of Engineering,CV,GM,6001,10000,2023
BMS College of Engineering,CSE,GM,200,900,2023
BMS College of Engineering,ISE,GM,901,1500,2023
BMS College of Engineering,ECE,GM,1501,2500,2023
BMS College of Engineering,EEE,GM,2501,5000,2023
BMS College of Engineering,ME,GM,5001,9000,2023
Ramaiah Institute of Technology,CSE,GM,300,1000,2023
Ramaiah Institute of Technology,ISE,GM,1001,1800,2023
Ramaiah Institute of Technology,ECE,GM,1801,3000,2023
Ramaiah Institute of Technology,EEE,GM,3001,6000,2023
Ramaiah Institute of Technology,ME,GM,6001,12000,2023
Bangalore Institute of Technology,CSE,GM,1500,3500,2023
Bangalore Institute of Technology,ISE,GM,3501,5000,2023
Bangalore Institute of Technology,ECE,GM,5001,8000,2023
Dayananda Sagar College of Engineering,CSE,GM,2000,4500,2023
Dayananda Sagar College of Engineering,ISE,GM,4501,6500,2023
Dayananda Sagar College of Engineering,ECE,GM,6501,10000,2023
PES University,CSE,GM,100,600,2023
PES University,ECE,GM,601,1800,2023
Sir M Visvesvaraya Institute of Technology,CSE,GM,3000,6000,2023
Sir M Visvesvaraya Institute of Technology,ECE,GM,6001,12000,2023
Nitte Meenakshi Institute of Technology,CSE,GM,5000,9000,2023
Nitte Meenakshi Institute of Technology,ISE,GM,9001,14000,2023
RV College of Engineering,AIML,GM,500,1000,2023
BMS College of Engineering,AIML,GM,1000,2000,2023
Ramaiah Institute of Technology,AIML,GM,1200,2500,2023
RV College of Engineering,CSE,HK,1,2000,2023
BMS College of Engineering,CSE,HK,2001,4000,2023
